Date,check,lhs_Tdays,lhs_delta,rhs_Tdays,rhs_delta,lhs_p_hat,rhs_p_hat,lhs_se,rhs_se,combined_se,diff_lhs_minus_rhs,z_diff,raw_violation,sigma_violation
2007-12-21,horizon_monotone_d30,60,0.3,20,0.3,0.0032211616486253,7.955929438569069e-07,0.000174889589714,1.817630578559485e-07,0.00017488968416730718,0.003220366055681443,18.41369930430373,False,False
2007-12-24,delta_monotone_T20,20,0.2,20,0.3,0.0013996819515274,2.421708952204464e-07,8.647243030844667e-05,4.872596832086118e-08,8.647244403663605e-05,0.0013994397806321795,16.183650135287888,False,False
2007-12-24,delta_monotone_T60,60,0.2,60,0.3,0.0543785254283026,0.0017289956688821,0.0015969241738095,0.0001124788303257,0.001600880477789829,0.0526495297594205,32.88785795683403,False,False
2007-12-24,horizon_monotone_d20,60,0.2,20,0.2,0.0543785254283026,0.0013996819515274,0.0015969241738095,8.647243030844667e-05,0.0015992636737263194,0.0529788434767752,33.127022358566634,False,False
2007-12-24,horizon_monotone_d30,60,0.3,20,0.3,0.0017289956688821,2.421708952204464e-07,0.0001124788303257,4.872596832086118e-08,0.00011247884087977436,0.0017287534979868796,15.369588488511347,False,False
2007-12-26,delta_monotone_T20,20,0.2,20,0.3,0.0011284515613724,1.3028322813178886e-07,7.03521255087343e-05,4.679979415761047e-08,7.035214107486307e-05,0.0011283212781442683,16.038193875913453,False,False
2007-12-26,delta_monotone_T60,60,0.2,60,0.3,0.0507047678339716,0.0013087388396816,0.0015354262566885,8.385772257071117e-05,0.0015377145077559767,0.04939602899429,32.12301681823552,False,False
2007-12-26,horizon_monotone_d20,60,0.2,20,0.2,0.0507047678339716,0.0011284515613724,0.0015354262566885,7.03521255087343e-05,0.0015370371535171348,0.049576316272599195,32.254468383640486,False,False
2007-12-26,horizon_monotone_d30,60,0.3,20,0.3,0.0013087388396816,1.3028322813178886e-07,8.385772257071117e-05,4.679979415761047e-08,8.385773562985764e-05,0.001308608556453468,15.605102458639923,False,False
2007-12-27,delta_monotone_T20,20,0.2,20,0.3,0.0006599765696031,1.5830562574523013e-08,4.719069657308631e-05,5.2388379512916155e-09,4.719069686387904e-05,0.0006599607390405254,13.984975490914527,False,False
2007-12-27,delta_monotone_T60,60,0.2,60,0.3,0.0401758765875093,0.0008468747039136,0.0013400548283273,5.908526488267558e-05,0.0013413567800736558,0.0393290018835957,29.320313929777942,False,False
2007-12-27,horizon_monotone_d20,60,0.2,20,0.2,0.0401758765875093,0.0006599765696031,0.0013400548283273,4.719069657308631e-05,0.001340885492786898,0.0395159000179062,29.4700033899064,False,False
2007-12-27,horizon_monotone_d30,60,0.3,20,0.3,0.0008468747039136,1.5830562574523013e-08,5.908526488267558e-05,5.2388379512916155e-09,5.908526511492827e-05,0.0008468588733510254,14.332826834300878,False,False
2007-12-28,delta_monotone_T20,20,0.2,20,0.3,0.0008617623836524,4.6010880850440186e-08,5.825490343864274e-05,1.2567106636056841e-08,5.8254904794169554e-05,0.0008617163727715495,14.792168587627568,False,False
2007-12-28,delta_monotone_T60,60,0.2,60,0.3,0.0404328287788176,0.0008121431370135,0.0013666022790987,5.645668915745539e-05,0.0013677679433984344,0.0396206856418041,28.967403303341264,False,False
2007-12-28,horizon_monotone_d20,60,0.2,20,0.2,0.0404328287788176,0.0008617623836524,0.0013666022790987,5.825490343864274e-05,0.0013678433473948714,0.0395710663951652,28.92953090756361,False,False
2007-12-28,horizon_monotone_d30,60,0.3,20,0.3,0.0008121431370135,4.6010880850440186e-08,5.645668915745539e-05,1.2567106636056841e-08,5.645669055615738e-05,0.0008120971261326496,14.384426684112096,False,False
2007-12-31,delta_monotone_T20,20,0.2,20,0.3,0.0012519541803806,2.834210735803021e-08,7.821634728885139e-05,8.843761826764368e-09,7.821634778882439e-05,0.001251925838273242,16.005935762346066,False,False
2007-12-31,delta_monotone_T60,60,0.2,60,0.3,0.0480675827962653,0.000927044823619,0.0015009167831734,5.937819213643742e-05,0.0015020908626687598,0.0471405379726463,31.383279896192075,False,False
2007-12-31,horizon_monotone_d20,60,0.2,20,0.2,0.0480675827962653,0.0012519541803806,0.0015009167831734,7.821634728885139e-05,0.0015029534214322136,0.0468156286158847,31.14908815422407,False,False
2007-12-31,horizon_monotone_d30,60,0.3,20,0.3,0.000927044823619,2.834210735803021e-08,5.937819213643742e-05,8.843761826764368e-09,5.9378192795030415e-05,0.0009270164815116419,15.612069648391646,False,False
2008-01-02,delta_monotone_T20,20,0.2,20,0.3,0.0024134720935268,1.5009597408180536e-07,0.0001357158901069,3.399622304122982e-08,0.0001357158943648508,0.002413321997552718,17.782161837764427,False,False
2008-01-02,delta_monotone_T60,60,0.2,60,0.3,0.0585734064099408,0.0013717952539932,0.0017575133743771,8.792308415401784e-05,0.001759711263202442,0.0572016111559476,32.506248242025926,False,False
2008-01-02,horizon_monotone_d20,60,0.2,20,0.2,0.0585734064099408,0.0024134720935268,0.0017575133743771,0.0001357158901069,0.0017627456038640085,0.056159934316414,31.85935292835744,False,False
2008-01-02,horizon_monotone_d30,60,0.3,20,0.3,0.0013717952539932,1.5009597408180536e-07,8.792308415401784e-05,3.399622304122982e-08,8.792309072648483e-05,0.0013716451580191183,15.600511159077595,False,False
2008-01-03,delta_monotone_T20,20,0.2,20,0.3,0.0021171881220384,1.5017335611395176e-07,0.0001459727361085,6.438802286757828e-08,0.0001459727503091562,0.002117037948682286,14.502966781119104,False,False
2008-01-03,delta_monotone_T60,60,0.2,60,0.3,0.0595735091890716,0.0012993221349045,0.0017525834982936,8.333197657264613e-05,0.0017545635174625446,0.0582741870541671,33.212925308308826,False,False
2008-01-03,horizon_monotone_d20,60,0.2,20,0.2,0.0595735091890716,0.0021171881220384,0.0017525834982936,0.0001459727361085,0.0017586520287362236,0.0574563210670332,32.67065919135897,False,False
2008-01-03,horizon_monotone_d30,60,0.3,20,0.3,0.0012993221349045,1.5017335611395176e-07,8.333197657264613e-05,6.438802286757828e-08,8.333200144795235e-05,0.001299171961548386,15.590312712695678,False,False
2008-01-04,delta_monotone_T20,20,0.2,20,0.3,0.0123994510551945,1.992891839846264e-06,0.0005294214591551,3.424476531994959e-07,0.0005294215699084336,0.012397458163354655,23.416987270652506,False,False
2008-01-04,delta_monotone_T60,60,0.2,60,0.3,0.1167798423229194,0.0040901033951061,0.0028468567895285,0.0002068429696488,0.0028543611534242916,0.1126897389278133,39.4798460568393,False,False
2008-01-04,horizon_monotone_d20,60,0.2,20,0.2,0.1167798423229194,0.0123994510551945,0.0028468567895285,0.0005294214591551,0.0028956658407866117,0.10438039126772489,36.04711213479308,False,False
2008-01-04,horizon_monotone_d30,60,0.3,20,0.3,0.0040901033951061,1.992891839846264e-06,0.0002068429696488,3.424476531994959e-07,0.00020684325312547562,0.004088110503266254,19.7642922430074,False,False
2008-01-07,delta_monotone_T20,20,0.2,20,0.3,0.0108101434722675,1.447986041309491e-06,0.0004457012266084,2.3538073460217658e-07,0.000445701288762241,0.010808695486226191,24.250985489054937,False,False
2008-01-07,delta_monotone_T60,60,0.2,60,0.3,0.1104603653428056,0.0035210240407562,0.0028020534571722,0.0001910730743494,0.002808560573780101,0.10693934130204939,38.07620967851068,False,False
2008-01-07,horizon_monotone_d20,60,0.2,20,0.2,0.1104603653428056,0.0108101434722675,0.0028020534571722,0.0004457012266084,0.002837279182641516,0.0996502218705381,35.12175413692051,False,False
2008-01-07,horizon_monotone_d30,60,0.3,20,0.3,0.0035210240407562,1.447986041309491e-06,0.0001910730743494,2.3538073460217658e-07,0.0001910732193307622,0.00351957605471489,18.42003849122486,False,False
2008-01-08,delta_monotone_T20,20,0.2,20,0.3,0.0295995156940131,9.947155599305525e-06,0.0010563091374543,1.267355017570444e-06,0.0010563098977374905,0.029589568538413796,28.012204185335833,False,False
2008-01-08,delta_monotone_T60,60,0.2,60,0.3,0.1809316328424954,0.0066696454721769,0.0037754936396835,0.0003090795250407,0.003788123859655324,0.17426198737031848,46.00218837252442,False,False
